TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-24 01:52:16,1771897936212,next-blog-app-drab.vercel.app/posts/8757a594-9ceb-4840-8eff-055d3f1263b4,GET,_rsc=3lb4g&nxtPid=8757a594-9ceb-4840-8eff-055d3f1263b4,200,cvvj4-1771897936212-548a377f1071,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/posts/[id].rsc,next-blog-app-drab.vercel.app,next-blog-mk02kh2bl-kuri227s-projects.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,12,iad1,252,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHPD7YPPZPTYTTJXNTREZ,buRCNFOQkyFq,1
2026-02-24 01:52:16,1771897936210,next-blog-app-drab.vercel.app/posts/d421fdfe-088e-401c-83df-4109f1ba0727,GET,_rsc=3lb4g&nxtPid=d421fdfe-088e-401c-83df-4109f1ba0727,200,4lpws-1771897936210-163579b26ab0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/posts/[id].rsc,next-blog-app-drab.vercel.app,next-blog-mk02kh2bl-kuri227s-projects.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,10,iad1,253,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHPD53W34H17K6PPS3VVZ,Rg1hM6ffwsJJ,1
2026-02-24 01:52:15,1771897935415,next-blog-app-drab.vercel.app/posts/c50b4560-1b4e-4633-b233-4ad659c215d0,GET,_rsc=3lb4g&nxtPid=c50b4560-1b4e-4633-b233-4ad659c215d0,200,k7972-1771897935415-90e0d03b62ec,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/posts/[id].rsc,next-blog-app-drab.vercel.app,next-blog-mk02kh2bl-kuri227s-projects.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,10,iad1,258,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHNMARJD47NR9GG13JC08,WxNzcDTUa6vr,1
2026-02-24 01:52:15,1771897935403,next-blog-app-drab.vercel.app/posts/2b4f90c4-f5cc-42a8-9a84-d2185eafbca7,GET,_rsc=3lb4g&nxtPid=2b4f90c4-f5cc-42a8-9a84-d2185eafbca7,200,c7gtg-1771897935403-4477d00487e9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/posts/[id].rsc,next-blog-app-drab.vercel.app,next-blog-mk02kh2bl-kuri227s-projects.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,33,iad1,255,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHNM0AYHPCX6N0805SPTS,buRCNFOQkyFq,1
2026-02-24 01:52:15,1771897935403,next-blog-app-drab.vercel.app/posts/6a3833cb-aa23-465c-9e54-ffd96645c866,GET,_rsc=3lb4g&nxtPid=6a3833cb-aa23-465c-9e54-ffd96645c866,200,685fb-1771897935403-7df15d076d44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/posts/[id].rsc,next-blog-app-drab.vercel.app,next-blog-mk02kh2bl-kuri227s-projects.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,20,iad1,257,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHNKZGH8670VZPK9FJTXQ,Rg1hM6ffwsJJ,1
2026-02-24 01:52:15,1771897935993,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,cvvj4-1771897934741-338f38428455,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Prisma error: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935993,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,cvvj4-1771897934741-338f38428455,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,[sync] Error name: PrismaClientKnownRequestError,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935993,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,cvvj4-1771897934741-338f38428455,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Stack: PrismaClientKnownRequestError: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:14,1771897934741,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,cvvj4-1771897934741-338f38428455,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,1154,iad1,321,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHMY8SW7A0KK6T9ZJPK2M,UyBsGceOQlYD,2
2026-02-24 01:52:15,1771897935911,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,tcqnt-1771897934738-ff4016049b71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Prisma error: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935911,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,tcqnt-1771897934738-ff4016049b71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,[sync] Error name: PrismaClientKnownRequestError,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935911,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,tcqnt-1771897934738-ff4016049b71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Stack: PrismaClientKnownRequestError: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:14,1771897934738,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,tcqnt-1771897934738-ff4016049b71,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,1080,iad1,324,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHMZ5QJHHYMEDHT3BW6DX,L3CzEGSVSb72,1
2026-02-24 01:52:15,1771897935913,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,mpm82-1771897934738-2b6801f8a388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Prisma error: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935913,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,mpm82-1771897934738-2b6801f8a388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,[sync] Error name: PrismaClientKnownRequestError,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935913,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,mpm82-1771897934738-2b6801f8a388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Stack: PrismaClientKnownRequestError: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:14,1771897934738,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,mpm82-1771897934738-2b6801f8a388,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,1088,iad1,308,2048,,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,01KJ6NHMYBAQEJZ2SFND9BNGCB,gNg5lI6nhu4r,2
2026-02-24 01:52:15,1771897935902,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,p2pwf-1771897934733-5a1a05623ac6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Prisma error: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935902,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,p2pwf-1771897934733-5a1a05623ac6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,[sync] Error name: PrismaClientKnownRequestError,prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
2026-02-24 01:52:15,1771897935902,next-blog-app-drab.vercel.app/api/auth/sync,POST,,500,p2pwf-1771897934733-5a1a05623ac6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/auth/sync,next-blog-app-drab.vercel.app,next-blog-app-drab.vercel.app,dpl_AnEVJkhSg529afjteE9mixULSvLo,,,,,"[sync] Stack: PrismaClientKnownRequestError: 
Invalid `prisma.user.upsert()` invocation:


Unique constraint failed on the fields: (`email`)",prj_oraASxXLDa1aUTSjLX1pyKuclYFZ,,,,,
